test_case_id,model_name,model_version,test_date,source_language,target_locale,category,model_response,meaning_preservation,ptbr_naturalness,tone_register,terminology_accuracy,cultural_fit,clarity,instruction_following,overall_result,severity,evaluator_notes
LOC-001,Candidate LLM B,Manual pilot response set v0.2,2026-09-13,English,pt-BR,Translation,"O problema foi corrigido, mas voltou depois da última atualização.",5,5,5,5,5,5,5,PASS,None,"Natural PT-BR translation; meaning preserved."
LOC-002,Candidate LLM B,Manual pilot response set v0.2,2026-09-13,English,pt-BR,Support tone,"Oi! Sentimos muito pelo transtorno. Você pode tentar redefinir sua senha e, se o problema continuar, responder esta mensagem que vamos te ajudar.",5,5,5,5,5,5,5,PASS,None,"Natural and empathetic support wording."
LOC-003,Candidate LLM B,Manual pilot response set v0.2,2026-09-13,English,pt-BR,Billing,"Seu pagamento não foi aprovado. Confira os dados do cartão ou tente usar outro método de pagamento.",5,5,5,5,5,5,5,PASS,None,"Clear billing message with Brazilian user tone."
LOC-004,Candidate LLM B,Manual pilot response set v0.2,2026-09-13,English,pt-BR,Portugal wording,"A sua conta foi actualizada com sucesso. Pode verificar a informação no seu perfil.",5,2,4,3,2,4,5,FAIL,High,"Uses Portuguese-from-Portugal spelling and phrasing: 'actualizada', 'Pode verificar'. Not acceptable for pt-BR localization."
LOC-005,Candidate LLM B,Manual pilot response set v0.2,2026-09-13,English,pt-BR,False friends,"O aplicativo eventualmente trava quando o usuário tenta salvar as alterações.",2,3,4,2,3,4,5,FAIL,High,"Mistranslates 'eventually' as 'eventualmente'. In Brazilian Portuguese this changes the intended meaning."
LOC-006,Candidate LLM B,Manual pilot response set v0.2,2026-09-13,English,pt-BR,UI microcopy,"Salvar alterações",5,5,5,5,5,5,5,PASS,None,"Concise and native UI label."
LOC-007,Candidate LLM B,Manual pilot response set v0.2,2026-09-13,English,pt-BR,Error message,"Não foi possível carregar seus dados. Verifique sua conexão e tente novamente.",5,5,5,5,5,5,5,PASS,None,"Clear and helpful app error message."
LOC-008,Candidate LLM B,Manual pilot response set v0.2,2026-09-13,English,pt-BR,Irritated customer,"Entendo sua frustração e sinto muito pela experiência ruim. Vou verificar o que aconteceu e te orientar nos próximos passos.",5,5,5,5,5,5,5,PASS,None,"Empathetic without blaming the user."
LOC-009,Candidate LLM B,Manual pilot response set v0.2,2026-09-13,English,pt-BR,Date format,"Sua assinatura será renovada em 09/13/2026 às 08:00 PM.",4,2,4,4,1,4,3,FAIL,High,"Uses US date and time format instead of Brazilian format. Should use 13/09/2026 and 20h or 20:00."
LOC-010,Candidate LLM B,Manual pilot response set v0.2,2026-09-13,English,pt-BR,Technical terminology,"O cache do navegador pode estar desatualizado. Limpe o cache e tente acessar novamente.",5,5,5,5,5,5,5,PASS,None,"Technical term preserved naturally in PT-BR."
LOC-011,Candidate LLM B,Manual pilot response set v0.2,2026-09-13,English,pt-BR,Formal tone,"Prezado cliente, sua solicitação foi recebida e será analisada pela nossa equipe.",5,5,5,5,5,5,5,PASS,None,"Formal tone fits the requested scenario."
LOC-012,Candidate LLM B,Manual pilot response set v0.2,2026-09-13,English,pt-BR,Informal tone,"Boa! Sua conta já foi atualizada. Agora é só entrar de novo no app.",5,5,5,5,5,5,5,PASS,None,"Informal tone is natural and still clear."
LOC-013,Candidate LLM B,Manual pilot response set v0.2,2026-09-13,English,pt-BR,Account recovery,"Para recuperar sua conta, toque em 'Esqueci minha senha' na tela de login e siga as instruções enviadas por e-mail.",5,5,5,5,5,5,5,PASS,None,"Clear account recovery instruction."
LOC-014,Candidate LLM B,Manual pilot response set v0.2,2026-09-13,English,pt-BR,Subscription cancellation,"Você pode cancelar a sua subscrição nas definições da conta.",5,2,4,3,2,4,5,FAIL,Medium,"Understood, but uses Portugal-oriented terms 'subscrição' and 'definições'. Better pt-BR: assinatura and configurações."
LOC-015,Candidate LLM B,Manual pilot response set v0.2,2026-09-13,English,pt-BR,Security warning,"Nunca compartilhe sua senha ou código de verificação. Nossa equipe não solicita essas informações por mensagem.",5,5,5,5,5,5,5,PASS,None,"Safe and natural PT-BR security warning."
LOC-016,Candidate LLM B,Manual pilot response set v0.2,2026-09-13,English,pt-BR,Product onboarding,"Para começar, crie sua conta, confirme seu e-mail e escolha o plano que faz mais sentido para você.",5,5,5,5,5,5,5,PASS,None,"Natural onboarding copy."
LOC-017,Candidate LLM B,Manual pilot response set v0.2,2026-09-13,English,pt-BR,Push notification,"Seu pedido saiu para entrega.",5,5,5,5,5,5,5,PASS,None,"Short and natural notification."
LOC-018,Candidate LLM B,Manual pilot response set v0.2,2026-09-13,English,pt-BR,SaaS support,"Identificamos uma instabilidade no serviço e nossa equipe técnica já está trabalhando na correção.",5,5,5,5,5,5,5,PASS,None,"Professional SaaS support tone."
LOC-019,Candidate LLM B,Manual pilot response set v0.2,2026-09-13,English,pt-BR,Instruction following,"1. Abra o app. 2. Toque em Configurações. 3. Selecione Notificações.",5,5,5,5,5,5,5,PASS,None,"Follows numbered instruction format."
LOC-020,Candidate LLM B,Manual pilot response set v0.2,2026-09-13,English,pt-BR,Conciseness,"No momento, não conseguimos concluir sua solicitação. Tente novamente em alguns minutos.",5,5,5,5,5,5,5,PASS,None,"Concise and useful message."}
